challenge_id,percentile,level,value,achieved_time,level_index,description,name,puuid
202300,0.373,BRONZE,20.0,2025-12-15 23:15:57,2,Progressez dans les défis du groupe Perfection.,Perfection,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402502,0.208,GOLD,2122.0,2026-03-14 19:42:50,4,Immobilisez des champions ennemis.,Personne ne bouge !,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402503,0.272,SILVER,13925.0,2026-03-13 21:33:56,3,Utilisez des compétences.,Accro aux compétences,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
202305,0.253,SILVER,25.0,2026-01-23 16:26:43,3,Gagnez plus de 450PO par minute.,Crésus,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402500,0.144,PLATINUM,80.0,2026-03-14 20:13:37,5,Progressez dans les défis du groupe Mystique.,Mystique,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402501,0.068,PLATINUM,520229.0,2026-03-13 20:14:50,5,"Lancez des soins ou des boucliers utiles sur vos alliés. Les soins doivent leur redonner des PV, les boucliers doivent bloquer des dégâts.",Toubib,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
210003,0.275,SILVER,12.0,2026-03-11 19:42:15,3,Obtenez des notes S- ou mieux.,Performance admirable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
210001,0.365,IRON,4.0,2025-12-19 17:45:44,1,Obtenez une note S+ avec différents champions.,Excellence,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
210000,0.3,BRONZE,35.0,2026-03-09 21:52:22,2,Progressez dans les défis du groupe Chef-d'œuvre.,Chef-d'œuvre,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
210005,0.317,IRON,5.0,2026-03-06 20:31:57,1,Obtenez un KDA supérieur à 3 dans la file classée en solo/duo.,Joueur de KDA,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402000,0.311,SILVER,395.0,2026-02-12 22:22:13,3,"Progressez dans les défis des groupes Bourreau, Commando, Débrouillardise et Mystique.",Médaille d'honneur,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
210004,0.279,BRONZE,8.0,2026-03-09 21:16:26,2,Atteignez un rang dans la file classée en solo/duo. Vous devez finir vos parties de placement.,Placements,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
103000,0.462,BRONZE,95.0,2026-01-27 23:26:00,2,"Progressez dans les défis des groupes Style, Innovation et Stratège.",Intelligence et créativité,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
401000,0.217,BRONZE,110.0,2026-03-14 15:57:11,2,"Progressez dans les défis des groupes Gourou, Virtuose et Ace.",Sage,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302200,0.216,SILVER,25.0,2026-01-23 16:22:53,3,Progressez dans les défis du groupe Démolition.,Démolition,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302202,0.275,SILVER,19.0,2026-01-23 16:04:44,3,Détruisez des tourelles avant la chute des plaques de tourelle (14minutes).,Plaquage en règle,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302203,0.117,BRONZE,4.0,2026-01-23 15:11:48,2,Détruisez la première tourelle en moins de 10minutes.,Dix minutes pour agir,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
101000,0.043,DIAMOND,1215.0,2026-02-27 20:57:09,6,"Progressez dans les défis des groupes Guerre d'ARAM, Finesse d'ARAM et Prodige d'ARAM.",Expertise d'ARAM,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203402,1.0,NONE,2.0,,0,Tuez des monstres de la jungle à enchantement dans la jungle ennemie.,Invade,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203401,0.377,IRON,3.0,2025-12-16 20:39:31,1,Participez à l'élimination du premier dragon dans les 8 premières minutes de jeu.,Mesure draconienne,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203400,1.0,NONE,10.0,,0,Progressez dans les défis du groupe Prédateur.,Prédateur,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203406,0.298,IRON,6.0,2026-02-13 22:56:46,1,"Tuez des monstres épiques tandis que le jungler ennemi est proche. Les monstres épiques incluent les dragons, le héraut de la Faille et le baron Nashor.",50/50,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301204,0.296,PLATINUM,1.0,2026-03-06 22:11:38,5,Gagnez une partie malgré un coéquipier AFK.,Gagnable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301205,0.077,DIAMOND,13.0,2026-02-28 15:19:26,6,Tuez des dragons ancestraux alors que vos adversaires ont l'âme du dragon.,Pas de loyauté chez les dragons,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301200,0.19,PLATINUM,190.0,2026-02-28 15:36:29,5,Progressez dans les défis du groupe Immuable.,Immuable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301201,0.222,PLATINUM,3.0,2026-01-27 21:42:59,5,Gagnez des parties en ayant votre Nexus exposé.,Situation délicate,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301202,0.22,GOLD,11.0,2026-01-24 22:23:45,4,Gagnez des parties après avoir perdu un inhibiteur.,Sans inhibition,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301203,0.199,GOLD,3.0,2026-03-13 22:57:51,4,Gagnez des parties après avoir eu un retard de 15éliminations.,Remontada,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
121001,0.001,DIAMOND,35.0,2025-12-23 19:42:35,6,Gagnez sans mourir des parties de Coop vs IA (Intermédiaire) avec au moins 20% de participation aux éliminations.,Rage contre la machine,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505007,0.157,DIAMOND,32.0,2026-03-08 20:03:25,6,Obtenez des champions tanks.,Invulnérable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
121000,0.002,GOLD,75.0,2025-12-23 20:04:32,4,Progressez dans les défis du groupe Glorieuse évolution.,Glorieuse évolution,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505006,0.145,MASTER,34.0,2026-02-24 19:08:10,7,Obtenez des champions supports.,Supportable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505005,0.288,GOLD,14.0,2026-02-22 20:21:22,4,Obtenez des champions tireurs.,Ingénieux,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
121002,0.003,SILVER,9.0,2025-12-18 19:27:25,3,"En tant que jungler, tuez le jungler ennemi dans sa jungle avant la 10e min en Coop vs IA (Intermédiaire).",Erreur 410: Jungler manquant,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505004,0.157,DIAMOND,48.0,2026-03-11 19:34:37,6,Obtenez des champions mages.,Incandescent,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505003,0.204,PLATINUM,33.0,2026-03-08 20:03:25,5,Obtenez des champions combattants.,Indomptable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505002,0.254,GOLD,21.0,2026-02-24 19:08:22,4,Obtenez des champions assassins.,Invisible,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505001,0.159,PLATINUM,100.0,2026-03-18 22:25:41,5,Obtenez des champions.,Attrapez-les tous,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
505000,0.157,DIAMOND,350.0,2026-03-18 22:25:41,6,Progressez dans les défis du groupe Champion.,Champion,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402102,0.265,SILVER,93.0,2026-03-08 21:27:05,3,"Jouez des parties dans la Faille de l'invocateur. Les modes Partie rapide, Draft et Classé comptent.",Faille pour la vie,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402100,0.333,SILVER,60.0,2026-03-14 22:06:35,3,Progressez dans les défis du groupe Bourreau.,Bourreau,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402101,0.305,IRON,14.0,2026-02-02 21:08:52,1,Gagnez des parties dans la file classée en solo/duo ou classée flexible.,Allez plus haut,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402108,0.248,SILVER,1054.0,2026-02-12 21:46:22,3,Réussissez des assistances.,Assistance standardisée,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402109,0.435,IRON,1.0,2026-03-13 19:55:08,1,Versez le premier sang.,Sanguinaire,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
103101,0.258,BRONZE,1.0,2026-03-09 21:16:26,2,Réussissez un Rappel sans vous faire repérer par un champion ennemi à proximité.,Juste sous leur nez,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
103100,0.356,BRONZE,10.0,2026-03-09 21:52:22,2,Progressez dans les défis du groupe Style.,Style,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402107,0.336,BRONZE,189.0,2026-03-11 20:49:13,2,Réussissez des éliminations.,Passe-temps mortel,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402104,0.456,IRON,11.0,2025-12-10 21:12:36,1,Réussissez des meurtres en série (au moins 3éliminations sans mourir).,Série de meurtres en série,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
402105,0.431,IRON,4.0,2026-03-14 21:30:59,1,Réussissez des éliminations multiples.,Massacres multiples,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
120001,0.0,GRANDMASTER,137.0,2025-12-18 19:44:17,8,Gagnez des parties de Coop vs IA.,Dysfonctionnement,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
